GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
10153	10.474421	10.40557	10.067121	10.195606	10.152813	10.179395	9.946474	9.985847	9.778606	10.377325	9.634565	10.369736	10.406442	10.176325
10154	6.688898	6.45895	6.647181	6.51631	6.786393	6.7993736	6.5946746	6.284867	6.5539913	6.535217	6.7187304	6.27026	6.2049246	6.716701
10155	8.5028	8.620862	8.326235	8.653234	8.149027	9.470698	8.18731	8.3154	8.513872	10.635958	8.6082535	8.601124	8.198809	8.741691
10156	5.853974	5.9001765	6.18784	6.517977	6.3052397	6.0227604	6.2406163	6.2547317	6.1588635	5.9849586	6.381167	6.3573155	6.1208305	6.1282845
10157	6.9647064	6.64111	6.4680023	6.885509	6.7927938	6.02851	6.2440004	7.128268	6.533174	7.5425034	6.687233	6.948616	7.3848557	7.2220273
10158	6.1265507	5.935281	8.307742	5.736222	9.973804	5.6894417	7.7611904	8.433511	9.260111	8.443286	7.1196904	5.843539	6.7967286	9.914152
10159	10.701442	10.2684	10.899065	10.203277	11.02306	10.457945	10.991819	10.6425	10.936227	11.11184	10.555879	11.21431	10.565656	9.885644
10160	7.1291127	7.548128	6.8724756	6.860264	6.865513	7.456778	7.050904	6.905547	7.0772433	6.512505	7.04421	6.4293256	6.984597	6.5939636
10163	7.533351	8.189159	8.299554	8.199886	8.200127	8.286424	9.409681	7.6642632	8.781109	9.068234	8.027121	9.5418215	8.09584	9.009483
10164	6.058942	6.571323	6.7144275	6.009108	8.556756	5.923018	6.9418244	9.183315	8.505296	5.9804993	6.4007254	6.9396224	10.337527	5.8398333
10165	9.497052	9.072085	8.611211	9.408633	8.952987	9.295895	7.821443	8.871077	9.464108	9.463022	8.885558	7.1611633	9.423043	9.570931
10166	10.257304	10.420395	9.389602	10.906351	10.618358	9.430836	7.1630516	11.286324	9.6124	11.622438	8.698444	6.897335	11.415223	10.861715
10168	6.169061	6.5735955	6.425778	6.2884965	6.232037	6.2434573	6.3758144	6.3261495	6.3620343	6.68845	6.2622113	6.503632	6.1532617	6.6460185
10169	12.650292	12.717544	12.829836	12.650292	12.850309	13.335313	12.976363	12.741008	13.439656	12.987784	12.960046	12.889882	12.562243	13.031065
1017	8.447578	8.9993305	8.692437	7.873357	8.488758	8.561559	8.862639	8.540896	10.060448	9.917603	9.501048	8.786372	8.373119	9.427519
10170	6.177902	5.8718123	6.0837946	6.0956726	6.3077545	5.939645	5.880756	5.9728365	6.0016127	6.0209055	5.8827634	6.117018	5.9240723	6.0264664
10171	9.145786	8.528527	7.9025435	8.61652	9.035051	7.871408	7.4594	9.3063345	7.232677	8.336246	7.092982	7.413381	10.3001795	6.8853455
