Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
122953	6.523756	6.516546	6.49815	6.282493	6.43103	6.2687984	6.4776587	6.3121715	6.9938536	6.7000513	6.5448165	6.872638	6.6202745	6.2962046	6.1727705	6.6628537	6.414444	6.658027
123	11.543789	11.8892765	11.901392	11.443959	11.60424	11.195407	12.391205	12.173406	13.199747	9.947838	11.551238	9.680888	11.587557	11.283099	12.217384	11.616817	11.328349	11.28015
1230	6.673855	6.67712	6.7831807	6.8758335	6.7002087	7.0347934	7.386264	7.0466433	7.0295715	6.6670356	7.735208	7.4526033	7.665444	7.3544993	7.4854875	7.1921144	7.81466	7.3706694
123016	6.448454	6.3723397	6.714853	6.776794	6.6677475	6.722159	6.6130967	6.418291	6.452131	6.766738	6.5565896	6.080125	6.527218	6.303849	6.4153714	6.276721	6.5195665	6.8728304
123036	6.8538895	6.2464147	5.6330495	5.9490514	6.470655	5.953497	5.96422	6.1101103	6.909159	6.075367	5.948412	5.8769145	5.9444137	5.8360233	6.073191	5.794766	6.2253714	5.891049
123041	6.227075	5.887378	5.9195027	5.9469395	6.1641464	5.779344	6.183658	6.0453157	6.072952	5.7787547	5.991775	6.09649	5.9688716	6.074194	6.1627774	5.7536407	5.952391	6.0608163
123169	7.3221745	8.043643	7.816023	7.735208	7.7749877	7.7950745	7.5563364	7.6683626	7.455006	7.7465825	7.6574593	7.4798303	7.4339566	7.436411	8.078129	7.88173	7.662816	7.6041603
123207	7.3411665	7.1553054	6.9520826	6.9414697	7.353588	7.3221745	7.377344	7.519303	7.041705	7.1432414	7.483811	7.5829606	7.2980247	7.617579	7.3421216	7.735208	7.4957066	7.3561006
123264	8.37681	6.5495987	8.970097	8.833175	6.844125	6.10023	6.042056	6.0549736	5.7442517	6.943645	6.1190815	6.2619514	6.3635144	6.3620343	6.3012557	5.893906	6.281094	6.078983
123283	6.1952057	6.267933	6.261366	6.302858	6.335186	6.398795	6.332042	6.8581834	6.7205133	6.4653897	6.505281	6.7205133	6.584196	6.3612165	6.902149	6.413377	6.536463	6.524787
123346	5.791814	5.760479	5.823957	5.838969	5.7881594	5.8935795	5.9105973	5.844155	5.9208937	5.941292	5.8531322	5.886327	5.892288	5.918579	5.669396	5.841468	5.951943	5.9003577
1235	6.1010013	7.1385922	6.592728	6.6192274	6.5858274	6.460196	6.859901	6.59979	6.9537745	6.74036	6.3652287	6.422871	6.659631	6.421964	6.4568486	6.4135456	6.744768	6.340641
123591	5.789842	5.8875794	5.799625	5.790032	5.560799	5.8365655	5.8054857	5.778953	6.09494	5.9150286	5.8111978	5.841102	5.8340807	5.8063254	5.793857	5.8741035	5.804341	5.7038455
1236	6.063503	6.7299356	6.2867346	5.9780474	6.2253714	6.168973	6.7722397	6.0696125	6.522934	6.651711	6.2370453	6.387273	6.333493	6.5708485	6.9220924	5.9685097	6.6805463	6.644805
