GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
10225	7.0792294	6.4991884	6.7706733	7.6277423	6.9064784	7.514781	7.867845	6.929496	8.086705
10226	9.4512415	9.874803	9.999195	9.784425	10.362786	9.494859	10.2136135	9.38612	9.771044
10227	9.813122	9.232989	9.7043	10.061919	9.329514	9.510091	10.496309	9.230441	10.0535555
10228	7.5257916	7.595861	7.7377033	8.09584	7.587578	7.498077	8.081296	7.4262323	7.9748716
10229	6.984419	6.718016	7.091174	6.860264	6.751733	6.948444	6.675042	6.9835067	6.7981954
10231	6.7617846	7.1270075	6.6060357	9.12222	7.2738914	6.916572	8.395864	6.702443	8.380924
10235	6.74787	6.2773204	6.2395325	6.853046	6.3013835	6.746518	6.849385	6.4691935	6.9552617
10236	10.000614	10.400209	10.249785	10.479057	10.396682	9.980974	10.181834	10.103876	9.7831135
10237	10.001352	10.832493	10.942299	10.450455	10.687492	10.388683	10.5002365	10.705843	10.110692
10238	8.467403	8.413974	8.659506	8.737994	8.73313	9.123101	8.950818	8.72634	8.833677
10240	9.628236	9.2653	9.550461	9.616946	9.327045	9.582066	9.727184	9.711499	9.789159
10241	7.662816	7.553044	7.604932	7.625164	7.9172606	7.785369	7.4011145	8.044198	7.4622436
10243	8.084072	8.058261	8.559259	8.754535	8.568358	9.007751	8.1540365	8.107106	7.8296685
10244	8.676796	10.561822	11.067362	9.798507	10.658137	10.715238	10.35095	10.905041	9.428606
10245	7.5682616	7.971831	8.231681	7.4644303	7.7782083	7.782864	7.818754	8.051279	7.4904227
10247	8.08941	8.806447	8.7699	8.498402	8.006348	8.5430975	7.82304	9.13217	8.477244
10249	9.13217	10.064094	8.882108	8.938165	9.733723	9.579106	8.510809	10.627587	8.812682
1025	10.282988	9.00236	9.384547	9.331966	9.60097	9.936251	9.097049	8.947771	9.774973
10252	7.969438	8.924339	8.324728	9.810737	8.269998	8.160264	9.593758	8.491129	8.9965515
10253	8.169803	7.633649	8.055011	8.136494	7.6262717	8.108043	8.20557	8.345764	7.8347335
10257	6.3455453	8.175938	6.422054	6.870071	6.447992	6.8079677	6.9339085	6.3341727	6.7477245
10260	6.783486	6.621043	6.872283	6.69224	6.605889	6.845999	6.8944206	7.0747333	6.953384
10262	9.685831	10.07428	9.825167	9.600394	9.804636	9.89068	9.819909	9.371365	10.147125
10263	8.360085	8.188866	8.454012	7.6800113	8.358726	8.147479	7.7782083	7.6550055	8.140937
10266	7.748587	7.30268	7.261383	7.990036	7.368114	7.6330557	7.8318706	7.6308827	7.7710404
10268	8.362801	7.7435546	7.3459597	7.5403748	7.538351	8.222695	7.645539	8.143907	7.8353105
10269	10.083508	10.560008	10.767206	10.563805	10.586764	10.159855	10.6541395	10.615275	10.670137
1027	8.183705	8.412864	8.465867	8.455778	7.984905	8.390722	8.3137665	8.314743	8.343185
10273	9.064609	9.561169	9.367175	9.042043	9.233496	9.218585	8.943928	9.32858	9.17381
10274	7.620527	7.826914	7.643982	7.548128	7.3259597	7.284917	7.6689076	7.7248445	7.3151474
10276	9.870537	10.120803	9.678535	9.842526	10.234389	9.397787	9.689886	9.648877	8.972845
10277	7.642858	7.673094	7.730316	7.8654532	7.901299	7.4570136	7.559409	7.7890306	8.055276
10278	6.2265544	6.029051	5.9912577	6.191702	6.08633	5.9943037	6.315254	5.990626	6.241597
1028	5.8098254	6.1568832	6.349235	6.6523976	5.992947	6.173524	6.4388347	6.341523	6.516546
10283	7.881418	8.256981	8.416395	8.482278	8.128934	8.398276	8.337329	8.481225	7.855366
10285	7.4533	7.269986	7.6408877	7.7428093	7.442683	7.8834705	7.663551	7.8190465	7.4835563
10286	5.8741455	5.8831453	5.8781486	6.0678167	5.8873096	5.7749243	5.891728	5.955556	5.8249445
10287	7.682295	7.9025435	7.708284	8.222993	7.7077475	8.036341	8.202935	7.4861803	8.354055
10289	7.5907016	9.198401	9.058543	8.893037	8.719426	8.443588	8.646082	8.625303	8.369403
1029	6.325257	7.27719	7.2980247	6.33124	6.8251457	6.4642463	5.9755673	6.488876	5.8212514
